"Design"	"File"	"Bytes"	"SHA256"	"MatchesOriginal"	"Source"
"00_General_GeometryToPlanes"	"Hotwire_GeometryToPlanes.cs"	"17634"	"D260EF105FA46A1CAE6A8A00F2DFC336957CA26C2067A3453CF13C137C8E293C"	"True"	"Hotwire_CSharp_Toolpath_Component\Hotwire_GeometryToPlanes.cs"
"00_General_GeometryToPlanes"	"Hotwire_GeometryToPlanes_Rails.gh"	"21045"	"77521E4DBD65D6FA60C45E3A7A290E1EA83F65A2F66D96EEB2374A25B5C34C0F"	"True"	"Hotwire_CSharp_Toolpath_Component\Hotwire_GeometryToPlanes_Rails.gh"
"00_General_GeometryToPlanes"	"Hotwire_GeometryToPlanes_Sections.gh"	"17978"	"9AAF48911E13EDACAFD2AB7E64D216AA42D76A86F1C209DD10CFAEBC2DC8087B"	"True"	"Hotwire_CSharp_Toolpath_Component\Hotwire_GeometryToPlanes_Sections.gh"
"00_General_GeometryToPlanes"	"Hotwire_GeometryToPlanes_Sample.3dm"	"51229"	"6034CC680B35C481386A8C87E05A0BE2479E05E6634E873789088CA28687EFFB"	"True"	"Hotwire_CSharp_Toolpath_Component\Hotwire_GeometryToPlanes_Sample.3dm"
"01_Surface_UV"	"Hotwire_SurfaceUV.cs"	"7772"	"5FEDBF6F1573CB2B71F6C7BC186A06135566EEFB384861FE75F3F89F0EE5B264"	"True"	"Hotwire_CSharp_Algorithms_Additional\01_Surface_UV\Hotwire_SurfaceUV.cs"
"01_Surface_UV"	"Hotwire_SurfaceUV.gh"	"8792"	"CE21BA88EF52828E8CC01EF548F68B2C5983F87C0558E574C412920DFE546F67"	"True"	"Hotwire_CSharp_Algorithms_Additional\01_Surface_UV\Hotwire_SurfaceUV.gh"
"01_Surface_UV"	"Hotwire_SurfaceUV_Sample.3dm"	"8996"	"C315641BA01A3472D85384A935E4A512253DA88657132A848C1DCDADC6516822"	"True"	"Hotwire_CSharp_Algorithms_Additional\01_Surface_UV\Hotwire_SurfaceUV_Sample.3dm"
"02_Auto_Boundary_Pair"	"Hotwire_AutoBoundaryPair.cs"	"9034"	"477DBB5C8039851FBD075C128834394D4B4D2110D950D75A537ABCA9EE3DA6C9"	"True"	"Hotwire_CSharp_Algorithms_Additional\02_Auto_Boundary_Pair\Hotwire_AutoBoundaryPair.cs"
"02_Auto_Boundary_Pair"	"Hotwire_AutoBoundaryPair.gh"	"9070"	"EBA115D59D60395A15256E59F5A1A7D19D5BBF84477D05E3477C7C6D51373C30"	"True"	"Hotwire_CSharp_Algorithms_Additional\02_Auto_Boundary_Pair\Hotwire_AutoBoundaryPair.gh"
"02_Auto_Boundary_Pair"	"Hotwire_AutoBoundaryPair_Sample.3dm"	"11699"	"6E3C5783D32AAA487B5AF21E47A6627F6F77F6FBDAF50B378302785619527060"	"True"	"Hotwire_CSharp_Algorithms_Additional\02_Auto_Boundary_Pair\Hotwire_AutoBoundaryPair_Sample.3dm"
"03_Centerline_Twist"	"Hotwire_CenterlineTwist.cs"	"7709"	"BC1F111A402F8B4AF178B00DFA8AD2F25792B55DFB035D960800AA86ECA6671B"	"True"	"Hotwire_CSharp_Algorithms_Additional\03_Centerline_Twist\Hotwire_CenterlineTwist.cs"
"03_Centerline_Twist"	"Hotwire_CenterlineTwist.gh"	"7984"	"2832C52174541500DB26E1A9637D0AF5A6B6125C24F21E58CF9FB6EEF6B81035"	"True"	"Hotwire_CSharp_Algorithms_Additional\03_Centerline_Twist\Hotwire_CenterlineTwist.gh"
"03_Centerline_Twist"	"Hotwire_CenterlineTwist_Sample.3dm"	"8125"	"5706BC8AAA545344CB10632A971DAEC1B866A5A4169009947F72F68CFF2C6F87"	"True"	"Hotwire_CSharp_Algorithms_Additional\03_Centerline_Twist\Hotwire_CenterlineTwist_Sample.3dm"
"04_MultiAngle_Envelope"	"Hotwire_MultiAngleEnvelope.cs"	"13478"	"AA099428008686C9E1DE3B42E7888C65F897E8B7A0EBF7E056952617777AB0DB"	"True"	"Hotwire_CSharp_Algorithms_Additional\04_MultiAngle_Envelope\Hotwire_MultiAngleEnvelope.cs"
"04_MultiAngle_Envelope"	"Hotwire_MultiAngleEnvelope.gh"	"12785"	"CDD9EB9882FC310FBB74A617E7859021897D1F8D285E89D29328BDC9FF814263"	"True"	"Hotwire_CSharp_Algorithms_Additional\04_MultiAngle_Envelope\Hotwire_MultiAngleEnvelope.gh"
"04_MultiAngle_Envelope"	"Hotwire_MultiAngleEnvelope_Sample.3dm"	"15841"	"627D3FC47C37F21F55ED556E177FE621448D514E18CF42B7F9F0FBB2954BEB13"	"True"	"Hotwire_CSharp_Algorithms_Additional\04_MultiAngle_Envelope\Hotwire_MultiAngleEnvelope_Sample.3dm"
